Country,Code,Year,CO2_Emissions,Plastic_Waste_Tonnes,Total_Annual_Water_Used,Daily_Water_Per_Capita,Population
Albania,ALB,2010,4783865.0,73364.0,1311000000.0,1196,3003387
Algeria,DZA,2010,118353256.0,1898343.0,9978000000.0,678,40339329
Angola,AGO,2010,22983320.0,528843.0,705800000.0,99,19450959
Antigua and Barbuda,ATG,2010,549600.0,22804.0,11500000.0,359,87674
Argentina,ARG,2010,185945940.0,2753550.0,37780000000.0,2493,41520740
Australia,AUS,2010,405131000.0,900658.0,16130000000.0,1826,24195701
Bahrain,BHR,2010,29075436.0,59785.0,434400000.0,844,1409661
Bangladesh,BGD,2010,54035524.0,1888170.0,35870000000.0,676,145421318
Barbados,BRB,2010,1562936.0,58164.0,81000000.0,824,269477
Belgium,BEL,2010,114489600.0,318151.0,6005000000.0,1523,10801356
Belize,BLZ,2010,538608.0,20191.0,101000000.0,1151,240406
Benin,BEN,2010,4679390.0,144382.0,130000000.0,49,7212041
Bosnia and Herzegovina,BIH,2010,21145704.0,195633.0,327900000.0,248,3617559
Brazil,BRA,2010,440269020.0,11852055.0,63500000000.0,841,206859578
Bulgaria,BGR,2010,47900148.0,415707.0,5629000000.0,2110,7309253
Cambodia,KHM,2010,5063724.0,344698.0,2184000000.0,444,13477779
Cameroon,CMR,2010,8383322.0,335305.0,966400000.0,175,15091594
Canada,CAN,2010,554734300.0,1154309.0,35730000000.0,2740,35732126
Chile,CHL,2010,71347520.0,738106.0,35430000000.0,5943,16334575
China,CHN,2010,8620576000.0,59079741.0,598100000000.0,1176,1393715448
Colombia,COL,2010,76266460.0,2413455.0,11770000000.0,736,43815313
Comoros,COM,2010,161216.0,50599.0,10000000.0,52,526443
Congo,COG,2010,5499943.0,110479.0,46000000.0,38,3331158
Costa Rica,CRI,2010,7492647.0,428029.0,3194000000.0,1788,4895242
Croatia,HRV,2010,20986248.0,406347.0,633800000.0,403,4308854
Cuba,CUB,2010,33038394.0,368154.0,6959000000.0,1684,11321579
Cyprus,CYP,2010,8102210.0,100713.0,317000000.0,725,1197881
Denmark,DNK,2010,49179470.0,95171.0,652000000.0,319,5600959
Djibouti,DJI,2010,516623.97,31999.0,19000000.0,70,742033
Dominica,DMA,2010,172208.0,3885.0,20000000.0,797,68755
Dominican Republic,DOM,2010,20553454.0,520238.0,7156000000.0,2006,9775755
Ecuador,ECU,2010,36276410.0,801321.0,9918000000.0,1973,13770012
Egypt,EGY,2010,203607570.0,5464471.0,77500000000.0,2086,101789386
El Salvador,SLV,2010,6318629.0,330763.0,2118000000.0,961,6037817
Equatorial Guinea,GNQ,2010,6402228.0,49990.0,17400000.0,70,684977
Eritrea,ERI,2010,468025.0,72120.0,582000000.0,577,2763140
Estonia,EST,2010,18964736.0,85534.0,1720000000.0,3585,1314526
Fiji,FJI,2010,1029584.06,59324.0,84900000.0,266,874923
Finland,FIN,2010,64092004.0,458084.0,6562000000.0,3414,5266251
France,FRA,2010,376457200.0,4557128.0,29370000000.0,1257,63989319
Gabon,GAB,2010,5836069.0,32329.0,139100000.0,261,1458353
Gambia,GMB,2010,425024.0,29646.0,90500000.0,172,1437539
Georgia,GEO,2010,6208043.0,97443.0,1823000000.0,1287,3879698
Germany,DEU,2010,826679940.0,14476561.0,25330000000.0,850,81680591
Ghana,GHA,2010,8942513.0,357877.0,982000000.0,137,19665502
Greece,GRC,2010,97354150.0,811858.0,9630000000.0,2379,11091493
Grenada,GRD,2010,256480.02,12417.0,14100000.0,327,117972
Guatemala,GTM,2010,11097682.0,1495229.0,3324000000.0,679,13412406
Guinea,GIN,2010,2484192.0,118196.0,553300000.0,179,8445717
Guinea-Bissau,GNB,2010,238160.0,30666.0,175000000.0,390,1230849
Guyana,GUY,2010,1886960.0,159681.0,1445000000.0,5293,747932
Haiti,HTI,2010,2136827.0,328487.0,1450000000.0,408,9730638
Honduras,HND,2010,7996618.0,565317.0,1607000000.0,611,7201881
Iceland,ISL,2010,3626604.0,32620.0,278300000.0,2303,331060
India,IND,2010,1677337200.0,4493080.0,761000000000.0,1681,1240613620
Indonesia,IDN,2010,445806080.0,5045714.0,222600000000.0,2329,261850182
Iran,IRN,2010,561496100.0,3919268.0,93300000000.0,3701,69061674
Iraq,IRQ,2010,113536270.0,1156524.0,38550000000.0,2729,38697943
Ireland,IRL,2010,41791596.0,715716.0,757000000.0,461,4499792
Israel,ISR,2010,68286904.0,826436.0,1954000000.0,812,6595986
Italy,ITA,2010,435710340.0,2899258.0,34190000000.0,1555,60232906
Jamaica,JAM,2010,7677295.0,34962.0,1354000000.0,1324,2802695
Japan,JPN,2010,1214798100.0,7993489.0,81450000000.0,1742,128117042
Jordan,JOR,2010,20615326.0,377506.0,1044000000.0,287,9964656
Kenya,KEN,2010,12163160.0,407506.0,4032000000.0,231,47894670
Kuwait,KWT,2010,90873290.0,750690.0,913200000.0,1222,2047364
Latvia,LVA,2010,8554521.0,94935.0,224400000.0,312,1973476
Lebanon,LBN,2010,19996596.0,148807.0,1840000000.0,788,6398940
Liberia,LBR,2010,709268.0,121050.0,130800000.0,124,2895224
Libya,LBY,2010,59147924.0,324250.0,5830000000.0,2721,5869870
Lithuania,LTU,2010,13834270.0,149227.0,2768000000.0,2611,2904450
Madagascar,MDG,2010,1871843.0,123526.0,13560000000.0,1920,19350299
Malaysia,MYS,2010,199346100.0,2031675.0,11200000000.0,1184,25923536
Maldives,MDV,2010,934320.0,43134.0,5900000.0,48,336883
Malta,MLT,2010,2619140.0,32377.0,62800000.0,368,467705
Mauritania,MRT,2010,2093519.9,59287.0,1350000000.0,1228,3012360
Mauritius,MUS,2010,3913152.0,104971.0,725000000.0,1599,1242340
Mexico,MEX,2010,456408960.0,3725463.0,86580000000.0,1952,121519221
Montenegro,MNE,2010,2421904.0,32557.0,160900000.0,699,631044
Morocco,MAR,2010,54365200.0,863555.0,10430000000.0,880,32464865
Mozambique,MOZ,2010,2634548.0,132612.0,1473000000.0,150,26843246
Myanmar,MMR,2010,13121587.0,1373018.0,33230000000.0,1999,45538332
Namibia,NAM,2010,2784640.0,114222.0,288000000.0,418,1888525
Netherlands,NLD,2010,182288820.0,2571398.0,8919000000.0,1441,16954081
New Zealand,NZL,2010,34807764.0,525630.0,5201000000.0,3278,4346338
Nicaragua,NIC,2010,4467845.0,299480.0,1545000000.0,712,5942553
Nigeria,NGA,2010,114532830.0,5961750.0,12470000000.0,212,160952853
North Korea,PRK,2010,65358830.0,484700.0,8658000000.0,984,24100982
Norway,NOR,2010,45621000.0,499682.0,3026000000.0,1760,4709577
Oman,OMN,2010,51177628.0,93251.0,1321000000.0,1488,2431600
Pakistan,PAK,2010,154201780.0,6412210.0,183500000000.0,2704,185931955
Panama,PAN,2010,9072099.0,192818.0,1211000000.0,824,4026336
Papua New Guinea,PNG,2010,4714717.0,267234.0,392100000.0,165,6498818
Peru,PER,2010,42505100.0,1543879.0,13660000000.0,1299,28806185
Philippines,PHL,2010,82598310.0,2565766.0,85140000000.0,2224,104875266
Poland,POL,2010,334222430.0,1346905.0,10580000000.0,752,38532113
Portugal,PRT,2010,52889748.0,1022683.0,9151000000.0,2373,10565551
Qatar,QAT,2010,73421576.0,103933.0,444000000.0,1433,848710
Romania,ROU,2010,84287750.0,310385.0,6374000000.0,882,19797820
Russia,RUS,2010,1632783200.0,5839685.0,69500000000.0,1312,145109157
Saint Lucia,LCA,2010,487312.0,32882.0,42900000.0,702,167518
Saudi Arabia,SAU,2010,555962200.0,1561618.0,23350000000.0,1871,34193122
Senegal,SEN,2010,6862391.0,485586.0,2221000000.0,598,10180950
Seychelles,SYC,2010,443344.0,11730.0,13700000.0,437,85883
Sierra Leone,SLE,2010,542272.0,96655.0,212200000.0,102,5683334
Slovenia,SVN,2010,16459732.0,108421.0,887300000.0,1163,2090020
Somalia,SOM,2010,611888.0,237569.0,3298000000.0,926,9758281
South Africa,ZAF,2010,462999680.0,4465798.0,15500000000.0,788,53873616
South Korea,KOR,2010,594339140.0,2025772.0,29200000000.0,1671,47889573
Spain,ESP,2010,282938430.0,4709157.0,32850000000.0,1937,46464551
Sri Lanka,LKA,2010,13050987.0,2621606.0,12950000000.0,1803,19673866
Sudan,SDN,2010,15069764.0,1292740.0,26930000000.0,2144,34419624
Suriname,SUR,2010,2370056.0,31300.0,615900000.0,3232,522023
Sweden,SWE,2010,53119860.0,164305.0,2689000000.0,785,9381729
Syria,SYR,2010,61721950.0,1365594.0,16760000000.0,2471,18583557
Tanzania,TZA,2010,7194109.0,386998.0,5184000000.0,391,36353531
Thailand,THA,2010,241018980.0,3532495.0,57310000000.0,2350,66826754
Togo,TGO,2010,2595698.0,135294.0,169000000.0,88,5281538
Trinidad and Tobago,TTO,2010,47111836.0,1745123.0,383200000.0,739,1420020
Tunisia,TUN,2010,28137812.0,559235.0,4875000000.0,1131,11811443
Turkey,TUR,2010,316193060.0,5596657.0,58950000000.0,1993,81019394
Ukraine,UKR,2010,294365800.0,1724509.0,9862000000.0,603,44833569
United Arab Emirates,ARE,2010,184842300.0,600741.0,3998000000.0,2559,4280993
United Kingdom,GBR,2010,511904580.0,4925590.0,8420000000.0,351,65655203
United States,USA,2010,5679715300.0,37825550.0,444300000000.0,3750,324607776
Uruguay,URY,2010,6297960.0,310379.0,3660000000.0,3046,3292224
Venezuela,VEN,2010,189316720.0,2669998.0,22630000000.0,2252,27525097
Vietnam,VNM,2010,139563840.0,3268227.0,82030000000.0,2703,83142095
Yemen,YEM,2010,25713402.0,887497.0,3565000000.0,458,21320671
